num,score,quote,time,movie_name
180357人评价,8.9,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,1987,末代皇帝
265140人评价,8.7,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,2003,大鱼
378876人评价,8.6,昔日翩翩少年，今日大腹便便。,2010,禁闭岛
137275人评价,9.0,人言可畏。,2012,狩猎
289191人评价,8.7,百看不厌。 ,1993,射雕英雄传之东成西就
330880人评价,8.8,小清新的故事里注入了大历史的情怀。,2014,布达佩斯大饭店
242757人评价,8.8,相逢只要一瞬间，等待却像是一辈子。,1996,甜蜜蜜
334976人评价,8.6,最不可能的那个人永远是最可能的。,2003,致命ID
163298人评价,8.9,我们都曾经是一一。,2000,一一
282313人评价,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,2011,阳光姐妹淘
273294人评价,8.7,童话世界的开端。,2001,哈利·波特与魔法石
358483人评价,8.7,没有一人完全善，也没有一人完全恶。,2010,告白
335327人评价,8.6,每个人心中都有一座断背山。,2005,断背山
163709人评价,8.9,被上帝抛弃了的上帝之城。,2002,上帝之城
362650人评价,8.6,约翰尼·德普的独角戏。,2003,加勒比海盗
239828人评价,8.7,骗子大师和执著警探的你追我跑故事。 ,2002,猫鼠游戏
94261人评价,9.2,大时代中的人生，小人物的悲喜。,1936,摩登时代
231342人评价,8.7,缘分是个连绵词，最美不过一瞬。,1995,爱在黎明破晓前
550961人评价,8.6,绝对意义上的美轮美奂。,2009,阿凡达
155479人评价,8.9,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,2008,穿条纹睡衣的男孩
184142人评价,8.8,动画片的圣经。,1984,风之谷
207273人评价,8.7,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,2004,爱在日落黄昏时
373275人评价,8.7,年度最佳date movie。,2014,消失的爱人
176649人评价,8.8,少女情怀总是诗。,1995,侧耳倾听
180105人评价,8.8,穷尽一生，我们要学会的，不过是彼此拥抱。,2011,超脱
211725人评价,8.7,幸福是生生不息，却难以触及的远。 ,1988,萤火虫之墓
265433人评价,8.6,两张绝世的脸。 ,1987,倩女幽魂
141264人评价,8.9,梦的勾结。,2006,红辣椒
297137人评价,8.7,和谐的生活离不开摸头与被摸头。,2010,驯龙高手
231985人评价,8.7,恐怖分子的“秋菊打官司”。,2013,恐怖直播
189793人评价,8.7,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,1999,菊次郎的夏天
232910人评价,8.6,有时候幸福需要等一等。 ,2004,幸福终点站
316871人评价,8.6,岁月流逝，来日可追。,2010,岁月神偷
80054人评价,9.2,时代悲歌。,1954,七武士
225776人评价,8.7,曾经的那段美好会沉淀为一辈子的记忆。,2010,借东西的小人阿莉埃蒂
393761人评价,8.5,Mr. I Don't Care其实也有Care的时候。,2010,神偷奶爸
101235人评价,9.0,大海啊，不全是水。,2009,海洋
137271人评价,8.9,那些静得只能听见呼吸的日子里，你明白孤独即生活。,2014,小森林 夏秋篇
325735人评价,8.5,爱，是个动词。,2003,真爱至上
217082人评价,8.6,关于连环杀人悬案的集体回忆。,2003,杀人回忆
206028人评价,8.7,真相就在眼前。,2004,电锯惊魂
328271人评价,8.5,我是一个演员。,1999,喜剧之王
186905人评价,8.7,像吃了苏打饼一样干脆的电影。,2007,谍影重重3
406983人评价,8.5,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,2008,贫民窟的百万富翁
216149人评价,8.6,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,1988,雨人
259499人评价,8.6,电影诗。,1994,东邪西毒
288959人评价,8.5,一个针管引发的血案。,2000,记忆碎片
144827人评价,8.8,中国家庭的喜怒哀乐忍。,1993,喜宴
250376人评价,8.6,不要给它起名字，起了名字就有感情了。,2001,怪兽电力公司
382738人评价,8.7,老少皆宜，这就是好莱坞动画的魅力。,2013,疯狂原始人
152232人评价,8.7,传奇，不是每个人都可以拥有。,1994,燃情岁月
430399人评价,8.5,黑暗之美。,2010,黑天鹅
110235人评价,8.9,永远看不腻的喜剧。,1966,虎口脱险
171971人评价,8.7,英雄泪短，兄弟情长。 ,1986,英雄本色
123847人评价,8.8,当这个世界闭上双眼，他却敞开了怀抱。,2004,卢旺达饭店
292288人评价,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,2004,恋恋笔记本
254852人评价,8.5,不可猜的青春迷笛。 ,1996,猜火车
312307人评价,8.4,爱是摈弃傲慢与偏见之后的曙光。,2005,傲慢与偏见
132834人评价,8.8,中国式内在的美国电影。,1940,魂断蓝桥
190637人评价,8.6,爱上未来的你。 ,2006,穿越时空的少女
134811人评价,8.8,任何信念的力量，都无法改变命运。,1990,教父3
182328人评价,8.7,《我是山姆》的《美丽人生》。,2013,7号房的礼物
83216人评价,9.0,坏人的好总是比好人的好来得更感人。,1993,完美的世界
195551人评价,8.6,我们都有权利不与自己的过去和解。,2016,海边的曼彻斯特
163713人评价,8.7,触不到的恋人。,2011,萤火之森
282544人评价,8.6,10年的完美句点。,2011,哈利·波特与死亡圣器(下)
151104人评价,8.7,香港浪漫主义警匪动作片的巅峰之作。,1991,纵横四海
95512人评价,8.9,骨灰级歌舞片。,1952,雨中曲
197393人评价,8.8,跨度十五年的欢乐与泪水。,2010,玩具总动员3
144388人评价,8.8,始于荒诞，止于更荒诞。,2014,荒蛮故事
119301人评价,8.9,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,2015,小森林 冬春篇
254423人评价,8.5,偷情本没有这样美。,2000,花样年华
93281人评价,8.8,有一些东西不应该被遗忘。,2015,二十二
107072人评价,8.8,爱并不需要智商 。,2001,我是山姆
206850人评价,8.6,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,2013,时空恋旅人
194348人评价,8.6,对爱的执着，可以超越一切。,2001,人工智能
380899人评价,8.6,Balalala~~~,2014,超能陆战队
338598人评价,8.4,华太师是黄霑，吴镇宇四大才子之一。,1993,唐伯虎点秋香
135695人评价,8.7,世界离独裁只有五天。,2008,浪潮
278820人评价,8.4,松鼠才是角儿。,2002,冰川时代
302133人评价,8.6,诺兰就是保证。,2012,蝙蝠侠：黑暗骑士崛起
282508人评价,8.4,一个单凭体香达到高潮的男人。,2006,香水
283622人评价,8.5,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,2008,朗读者
167227人评价,8.6,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,2014,心迷宫
128265人评价,8.7,人生的N种可能性。,1950,罗生门
83806人评价,8.9,诺兰的牛逼来源于内心散发出的恐惧。,1998,追随
135483人评价,8.7,只有有信仰的人才能说出事实真相。,2011,一次别离
177625人评价,8.6,天使与魔鬼的冲撞。,2004,撞车
243757人评价,8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,2014,爆裂鼓手
132111人评价,8.7,坚硬的信仰。,2004,可可西里
100574人评价,8.8,好的剧本是，就算你猜到了结局也猜不到全部。,1997,未麻的部屋
178278人评价,8.5,做一颗让别人需要你的棋子。,2005,战争之王
87053人评价,8.8,天使保护事件始末。,2007,地球上的星星
114023人评价,8.7,一场没有春天的噩梦。,2000,梦之安魂曲
332413人评价,8.3,不要企图在重复中寻找已经失去的爱。,2009,恐怖游轮
172023人评价,8.6,Jared Leto的腿比女人还美！,2013,达拉斯买家俱乐部
186297人评价,8.5,王家卫是一种风格，张国荣是一个代表。,1990,阿飞正传
264533人评价,8.5,热血沸腾，那个低俗、性感的无耻混蛋又来了。,2012,被解救的姜戈
109179人评价,8.7,弱者送给弱者的一刀。,1991,牯岭街少年杀人事件
109186人评价,8.7,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,1988,碧海蓝天
195748人评价,8.5,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,2002,谍影重重
162593人评价,8.5,谁说王家卫镜头很晃？,2004,谍影重重2
198873人评价,8.5,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,1989,魔女宅急便
84694人评价,8.9,故事的反转与反转，分裂电影的始祖。,1960,惊魂记
304016人评价,8.3,青春就是放弃和怀念。,2007,秒速5厘米
60912人评价,9.0,养狗三日，便会对你终其一生。,1987,忠犬八公物语
173177人评价,8.5,爱我就给我看你的播放列表。,2013,再次出发之纽约遇见你
225557人评价,8.4,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,1993,青蛇
167217人评价,8.6,生命不止，摇滚不死。,2009,海盗电台
82052人评价,8.9,想你时你在闹海。,1979,哪吒闹海
51432人评价,9.2,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,1953,东京物语
108284人评价,8.7,天使暂时离开。,1999,绿里奇迹
106251人评价,8.7,没有了退路，只好飞向自由。,1991,末路狂花
231531人评价,8.7,愿我们都不用长大，每一座城堡都能永远存在。,2015,头脑特工队
143950人评价,8.5,类型片的极致。 ,1996,勇闯夺命岛
143207人评价,8.6,少见的超越首部的续集，动作片中的经典。,1991,终结者2：审判日
156809人评价,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,2015,房间
184181人评价,8.5,科幻真正的魅力不是视觉效果能取代的。 ,2007,这个男人来自地球
414650人评价,8.3,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,2011,源代码
126590人评价,8.6,与同名歌曲无关。,1942,卡萨布兰卡
186858人评价,8.5,嬉笑怒骂，调风动月。,1992,新龙门客栈
158408人评价,8.5,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,2003,黑客帝国3：矩阵革命
319998人评价,8.7,,2016,血战钢锯岭
129386人评价,8.6,出门必备：本草纲目。,2007,荒野生存
52305人评价,9.1,最美的飞翔。,2001,迁徙的鸟
259423人评价,8.5,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,2014,模仿游戏
217394人评价,8.4,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,1997,变脸
44810人评价,9.2,永远的小人物，伟大的卓别林。,1931,城市之光
155115人评价,8.5,生病的E.T.皮肤的颜色就像柿子饼。,1982,E.T. 外星人
188249人评价,8.4,我完全康复了。,1971,发条橙
187939人评价,8.4,每个人的内心都是深不可测的大海。 ,1999,美国丽人
52005人评价,9.1,最棒的西部片。,1966,黄金三镖客
226173人评价,8.4,昆汀同学越来越变态了，比北野武还杜琪峰。,2009,无耻混蛋
108796人评价,8.6,现实与童话交相辉映的旅程。,1996,燕尾蝶
175767人评价,8.4,"In memory, love lives forever...",1996,英国病人
467815人评价,8.3,黑小鸭速效美白记。,2010,初恋这件小事
118116人评价,8.7,惠及一生的美丽。,2015,一个叫欧维的男人决定去死
110012人评价,8.6,乐观比一切都有力量。,2008,叫我第一名
117757人评价,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,2013,爱在午夜降临前
117837人评价,8.6,我不信仰上帝，但我敬畏上帝。,1995,非常嫌疑犯
237681人评价,8.3,大卫·林奇的梦境迷宫。,2001,穆赫兰道
88483人评价,8.9,热血沸腾，相当完美的娱乐拳击大餐。,2011,勇士
470404人评价,8.4,,2016,你的名字。
97085人评价,8.6,纯净原始的笑与感动。,1980,上帝也疯狂
186358人评价,8.6,迪士尼和皮克斯拿错剧本的产物。,2012,无敌破坏王
318131人评价,8.2,中国版《两杆大烟枪》。,2006,疯狂的石头
343692人评价,8.3,皇上无话儿。,2010,国王的演讲
55472人评价,9.0,我的平常生活就是他人的幸福。,2004,无人知晓
133311人评价,8.5,每个美丽事物背后都是滴血的现实。,2006,血钻
72381人评价,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,2008,步履不停
274667人评价,8.3,青春的窃窃私语。 ,2002,蓝色大门
100677人评价,8.6,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,1999,枪火
93824人评价,8.6,捍卫人权只是信仰，一点不妨碍其行为的残忍。,2003,大卫·戈尔的一生
47747人评价,9.0,献给所有外婆的电影。,2002,爱·回家
178436人评价,8.4,小成本大魅力。,2013,彗星来的那一夜
129667人评价,8.5,用剩余不多的时间，去燃烧整个生命。,2007,遗愿清单
57834人评价,9.0,你要相信，这世上真的有爱存在，不管在什么年纪 ,2011,我爱你
86540人评价,8.7,一部能引人思考的科幻励志片。,1997,千钧一发
135267人评价,8.5,一个人的独角戏。,2000,荒岛余生
129093人评价,8.5,麦兜是一只很哲学的猪。 ,2001,麦兜故事
145937人评价,8.4,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,2004,暖暖内含光
204357人评价,8.3,有些幸福无关爱情。,2007,曾经
144778人评价,8.5,2009媲美《第九区》的又一部科幻神作。,2009,月球
95450人评价,8.6,我们长途跋涉寻找的东西，有可能一直就在身边。 ,2002,蝴蝶
104745人评价,8.6,四百击的反面。,2009,巴黎淘气帮
